"Language Packs","Paquetes de idioma"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"Canada","Canadá"
"France","Francia"
"Guiana","Guayana"
"French (Canada)","Francés (Canadá)"
"French (France)","Francés (Francia)"
"French (Guiana)","Francés (Guayana)"
"French (Custom)","Francés (personalizado)"
"French language package fr_CA - Community Edition (CE)","Paquete de idioma francés fr_CA - Community Edition (CE)"
"French language package fr_FR - Community Edition (CE)","Paquete de idioma francés fr_FR - Community Edition (CE)"
"French language package fr_GY - Community Edition (CE)","Paquete de idioma francés fr_GY - Community Edition (CE)"
"French language package fr_ZZ - Community Edition (CE)","Paquete de idioma francés fr_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","El paquete de idioma <span style='color:red'>%s</span> en la versión <span style='color:red'>%s</span> se ha instalado correctamente."
"On the <a href='%s'>Magento Connect page of the French language pack</a>, you can find more information on the latest versions.","Sur la <a href='%s'>Magento Connect page du pack de langue française</a> que vous trouverez de plus amples informations sur les versions actuelles."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Para los interesados hay un <a href='%s'>repositorio de GitHub</a>. Se suministra con los siguientes fines:"
"Development of current language pack versions","Desarrollo de las versiones lingüísticas de corriente de carga"
"Report an error / send in patches, also happy for both published releases","Señalar un error / enviar parches, también feliz para ambas publicaciones liberados"
"Alternative Downloads (regardless of official sources)","Descargas alternativos (sin tener en cuenta las fuentes oficiales)"
"Copy / forks for their own purposes","Copiar / horquillas para sus propios fines"
"Active participation in the language pack","Participación activa en el paquete de idioma"
"View Preview versions & test","Ver y probar las versiones de vista previa"
"Note for detailed information, the README file on the GitHub page.","Nota: Para obtener información detallada, el archivo LEAME/README en la página de GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Con el fin de asegurar la cobertura de traducción Magento, por favor consulte la información de los párrafos más abajo!"
"powered by","proporcionado por"
"and","y"
"Translate Magento Connect Manager","Traducir Gestor Magento Connect"
"To install the translation for the Magento Connect Manager, proceed as follows:","Para instalar la traducción para el Administrador de Magento Connect, haga lo siguiente:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","En el directorio raíz de Magento en la subcarpeta ""%s"" renombra la carpeta ""%s"" en ""%s""."
"The directory","El directorio"
"or","o"
"from","de"
"rename into ""template""","renombrar a ""template"""
"The Magento Connect Manager should be changed to French now.","La Magento Connect Manager doit maintenant être changé en <span style='color:red'>français</span>."
"Please note:","Tenga en cuenta:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","Si se actualiza Magento, en particular, el módulo ""Mage_Downloader"", se sobrescribirá la configuración del Connect Manager!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","Lo mismo se aplica al editor TinyMCE. Ejecutar en el caso de un ""Reinstall"" del paquete de idioma y repetir los pasos descritos."
"Using your own translations","Usando sus propias traducciones"
"Recommended extensions","Extensiones recomendadas"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","El paquete de idioma instalado sólo ofrece traducciones de los textos existentes en Magento. Si desea preparar su tienda Magento en los requisitos legales en %s o ampliar los métodos de pago comunes, entonces le recomendamos que instale las siguientes extensiones adicionales."
"Specific market adjustment for","Ajustes al mercado específico de"
"French and European stores","las tiendas francesas y europeas"
"French and Canadian stores","las tiendas francesas y canadienses"
"French and Latin American stores","las tiendas francesas y latinoamericanas"
"Preconfigured for the French market","Preconfigurada para el mercado francés"
"Currently not available","Actualmente no disponible"
"Common payment methods","Métodos de pago comunes"
"Debit / direct debit","Débito / débito directo"
"Cash On Delivery","Contra reembolso"
"Payment in Advance","Pago por adelantado"
"Extension Key for the","Clave de extensión para el"
"on","a"
"Translate TinyMCE","Traducir TinyMCE"
"Use French language for TinyMCE Editor?","Utilisez la version française de l'éditeur TinyMCE?"
"custom stores","tiendas personalizadas"
"This is your individual language pack that is only managed and maintained by you.","Es su propio paquete de lenguaje personal que es administrado y mantenido sólo por usted."
"Adjust the file ""%s"" with your name and the link to your website.","Ajuste el archivo ""%s"" con su nombre y el enlace a su sitio web."
"Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations.","Rellene los archivos de idioma en ""app/locale/de_ZZ"" con sus propias traducciones y nunca pierda de nuevo sus personalizaciones."
